Organizador,Ano_Mes,Dia_da_Semana,Tipo_Dia,Objetivo,Date,AdSet_name,Amount_spent,Link_clicks,Impressions,Conversions,Segmentação,Tipo_de_Anúncio,Fase
240,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_lal1_compradores_estatico_v1,0.00,,0,,LookALike_Compradores_1,Estático,2º Lançamento | Leads
241,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_lal1_compradores_v1,3.64,5,89,3,LookALike_Compradores_1,Video,2º Lançamento | Leads
242,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_interesses_dados_v1,2.69,3,98,,Interesses_Dados,Video,2º Lançamento | Leads
243,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_cargos_dados_v1,0.11,,8,,Cargos_Dados,Video,2º Lançamento | Leads
244,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_cargos_dados_v2,0.29,,3,,Cargos_Dados,Video,2º Lançamento | Leads
245,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_lal1_compradores_v2,0.08,,2,,LookALike_Compradores_1,Video,2º Lançamento | Leads
246,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_interesses_dados_v2,35.25,16,4073,11,Interesses_Dados,Estático,2º Lançamento | Leads
247,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_cargos_dados_v2,15.27,11,1574,5,Cargos_Dados,Estático,2º Lançamento | Leads
248,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_lal1_compradores_v2,35.60,27,2274,13,LookALike_Compradores_1,Estático,2º Lançamento | Leads
249,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_cargos_dados_v1,16.76,9,1743,5,Cargos_Dados,Estático,2º Lançamento | Leads
250,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_interesses_dados_v1,34.17,17,3880,9,Interesses_Dados,Estático,2º Lançamento | Leads
251,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_lal1_compradores_v1,33.18,20,1525,15,LookALike_Compradores_1,Estático,2º Lançamento | Leads
252,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_lal1_compradores_v3,0.17,,2,,LookALike_Compradores_1,Video,2º Lançamento | Leads
253,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_cargos_dados_v3,16.29,13,1875,7,Cargos_Dados,Estático,2º Lançamento | Leads
254,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_cargos_dados_v3,0.01,,1,,Cargos_Dados,Video,2º Lançamento | Leads
255,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_interesses_dados_v3,35.31,17,4149,8,Interesses_Dados,Estático,2º Lançamento | Leads
256,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_interesses_dados_v3,0.01,,1,,Interesses_Dados,Video,2º Lançamento | Leads
257,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_lal1_compradores_v3,35.13,22,2294,12,LookALike_Compradores_1,Estático,2º Lançamento | Leads
258,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_lal1_compradores_v3,0.17,,5,,LookALike_Compradores_1,Video,2º Lançamento | Leads
259,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_cargos_dados_v3,0.00,,2,,Cargos_Dados,Video,2º Lançamento | Leads
260,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_interesses_dados_v3,0.01,,1,,Interesses_Dados,Video,2º Lançamento | Leads
261,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_cargos_dados_v2,0.69,,43,,Cargos_Dados,Video,2º Lançamento | Leads
262,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_interesses_dados_v2,0.43,,13,1,Interesses_Dados,Video,2º Lançamento | Leads
263,2024 | Março,Sexta-Feira,Dia útil,Leads,2024-03-01,topfunnel_lal1_compradores_v2,0.33,,11,,LookALike_Compradores_1,Video,2º Lançamento | Leads
264,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_lal1_compradores_v1,5.27,7,114,2,LookALike_Compradores_1,Video,2º Lançamento | Leads
265,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_interesses_dados_v1,4.16,5,128,2,Interesses_Dados,Video,2º Lançamento | Leads
266,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_cargos_dados_v1,0.23,,5,,Cargos_Dados,Video,2º Lançamento | Leads
267,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_cargos_dados_v2,0.04,,5,,Cargos_Dados,Video,2º Lançamento | Leads
268,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_interesses_dados_v2,35.27,16,3758,9,Interesses_Dados,Estático,2º Lançamento | Leads
269,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_cargos_dados_v2,15.94,11,1634,9,Cargos_Dados,Estático,2º Lançamento | Leads
270,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_lal1_compradores_v2,35.67,24,1665,17,LookALike_Compradores_1,Estático,2º Lançamento | Leads
271,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_cargos_dados_v1,16.93,8,1706,7,Cargos_Dados,Estático,2º Lançamento | Leads
272,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_interesses_dados_v1,32.49,21,3301,15,Interesses_Dados,Estático,2º Lançamento | Leads
273,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_lal1_compradores_v1,30.58,18,1108,14,LookALike_Compradores_1,Estático,2º Lançamento | Leads
274,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_cargos_dados_v3,16.58,5,1455,6,Cargos_Dados,Estático,2º Lançamento | Leads
275,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_interesses_dados_v3,36.01,22,3678,14,Interesses_Dados,Estático,2º Lançamento | Leads
276,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_lal1_compradores_v3,35.31,21,1750,16,LookALike_Compradores_1,Estático,2º Lançamento | Leads
277,2024 | Março,Sábado,Final de Semana,Leads,2024-03-02,topfunnel_lal1_compradores_v3,0.42,,8,,LookALike_Compradores_1,Video,2º Lançamento | Leads
