Organizador,Ano_Mes,Dia_da_Semana,Tipo_Dia,Objetivo,Date,AdSet_name,Amount_spent,Link_clicks,Impressions,Conversions,Tipo_de_Anúncio,Fase
3533,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,midfunnel_full_dados_video_cara_meu_chefe_acabou_de_mandar_um_arquivo_com_1_bilhao_de_linhas,331.16,222,25359,81,Video,12º Lançamento | Leads
3534,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,midfunnel_full_dados_video_cara_voce_ja_utilizou_python_pra_criar_uma_etl_pipeline,0.00,,0,2,Video,12º Lançamento | Leads
3535,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,midfunnel_full_dados_video_se_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade_michele,255.66,197,13961,69,Video,12º Lançamento | Leads
3536,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,midfunnel_full_dados_video_todo_mundo_fala_que_databricks_spark_sao_as_melhores_ferramentas,333.13,324,34670,123,Video,12º Lançamento | Leads
3537,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,topfunnel_LAL1_compradores_video_cara_meu_chefe_acabou_de_mandar_um_arquivo_com_1_bilhao_de_linhas,101.71,63,9816,27,Video,12º Lançamento | Leads
3538,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,topfunnel_LAL1_compradores_video_se_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade,154.57,81,10331,23,Video,12º Lançamento | Leads
3539,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,topfunnel_LAL1_compradores_video_todo_mundo_fala_que_databricks_spark_sao_as_melhores_ferramentas,168.60,124,21865,38,Video,12º Lançamento | Leads
3540,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,topfunnel_LAL1_compradores_video_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade,141.76,40,5860,15,Video,12º Lançamento | Leads
3541,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,midfunnel_full_dados_video_se_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade_michele,60.73,37,5635,14,Video,12º Lançamento | Leads
3542,2025 | Janeiro,Quarta-Feira,Dia útil,Leads,2025-01-01,topfunnel_LAL1_compradores_video_se_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade,3.23,1,456,,Video,12º Lançamento | Leads
3543,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,midfunnel_full_dados_video_cara_meu_chefe_acabou_de_mandar_um_arquivo_com_1_bilhao_de_linhas,316.75,220,24795,76,Video,12º Lançamento | Leads
3544,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,midfunnel_full_dados_video_cara_voce_ja_utilizou_python_pra_criar_uma_etl_pipeline,0.00,,0,,Video,12º Lançamento | Leads
3545,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,midfunnel_full_dados_video_se_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade_michele,280.37,182,14359,69,Video,12º Lançamento | Leads
3546,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,midfunnel_full_dados_video_todo_mundo_fala_que_databricks_spark_sao_as_melhores_ferramentas,366.90,349,38101,134,Video,12º Lançamento | Leads
3547,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,topfunnel_LAL1_compradores_video_cara_meu_chefe_acabou_de_mandar_um_arquivo_com_1_bilhao_de_linhas,143.38,103,13911,21,Video,12º Lançamento | Leads
3548,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,topfunnel_LAL1_compradores_video_se_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade,152.28,100,11134,36,Video,12º Lançamento | Leads
3549,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,topfunnel_LAL1_compradores_video_todo_mundo_fala_que_databricks_spark_sao_as_melhores_ferramentas,197.02,137,28188,46,Video,12º Lançamento | Leads
3550,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,topfunnel_LAL1_compradores_video_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade,24.78,13,1018,3,Video,12º Lançamento | Leads
3552,2025 | Janeiro,Quinta-Feira,Dia útil,Leads,2025-01-02,topfunnel_LAL1_compradores_video_se_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade,2.85,2,287,1,Video,12º Lançamento | Leads
3553,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,midfunnel_full_dados_video_cara_meu_chefe_acabou_de_mandar_um_arquivo_com_1_bilhao_de_linhas,302.00,201,24543,57,Video,12º Lançamento | Leads
3554,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,midfunnel_full_dados_video_se_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade_michele,279.48,198,16827,60,Video,12º Lançamento | Leads
3556,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,topfunnel_LAL1_compradores_video_cara_meu_chefe_acabou_de_mandar_um_arquivo_com_1_bilhao_de_linhas,142.43,86,15555,20,Video,12º Lançamento | Leads
3557,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,topfunnel_LAL1_compradores_video_se_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade,136.87,107,11659,26,Video,12º Lançamento | Leads
3558,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,topfunnel_LAL1_compradores_video_todo_mundo_fala_que_databricks_spark_sao_as_melhores_ferramentas,188.55,152,27606,42,Video,12º Lançamento | Leads
3559,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,midfunnel_full_dados_video_se_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade_michele,28.38,18,2304,7,Video,12º Lançamento | Leads
3560,2025 | Janeiro,Sexta-Feira,Dia útil,Leads,2025-01-03,topfunnel_LAL1_compradores_video_se_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade,0.77,2,94,1,Video,12º Lançamento | Leads
3561,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,midfunnel_full_dados_video_cara_meu_chefe_acabou_de_mandar_um_arquivo_com_1_bilhao_de_linhas,317.93,184,21733,70,Video,12º Lançamento | Leads
3562,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,midfunnel_full_dados_video_cara_voce_ja_utilizou_python_pra_criar_uma_etl_pipeline,0.00,,0,1,Video,12º Lançamento | Leads
3563,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,midfunnel_full_dados_video_se_voce_quer_aprender_python_etl_engenharia_de_dados_de_verdade_michele,265.88,217,13997,71,Video,12º Lançamento | Leads
3564,2025 | Janeiro,Sábado,Final de Semana,Leads,2025-01-04,midfunnel_full_dados_video_todo_mundo_fala_que_databricks_spark_sao_as_melhores_ferramentas,336.04,246,38289,84,Video,12º Lançamento | Leads
